DISTRICT_ID,YEAR,Aus,Aman,Boro
BD1004,2018-2019,11650,116802,256997
BD2003,2018-2019,23672,26210,24253
BD1004,2018-2019,122564,157492,3941
BD1006,2018-2019,38239,208723,195101
BD1009,2018-2019,172102,423522,161003
BD5010,2018-2019,57385,467997,709612
BD2012,2018-2019,20992,133161,471298
BD2013,2018-2019,26286,79413,237576
BD5070,2018-2019,138418,142977,164882
BD2015,2018-2019,97581,435740,244972
BD4018,2018-2019,109585,89821,131195
BD2022,2018-2019,8950,196112,209201
BD2019,2018-2019,191367,316154,661982
BD3026,2018-2019,1098,12583,180847
BD5527,2018-2019,20324,770155,681567
BD3029,2018-2019,15869,215743,86868
BD2030,2018-2019,28102,160699,95107
BD5532,2018-2019,6157,349760,479310
BD3033,2018-2019,3914,116674,244018
BD3035,2018-2019,4765,40506,354394
BD6036,2018-2019,121870,256459,408473
BD4539,2018-2019,6174,245755,514788
BD4041,2018-2019,49574,364433,749344
BD1042,2018-2019,34279,73084,35488
BD4044,2018-2019,81538,282094,393930
BD5038,2018-2019,471,218127,290082
BD2046,2018-2019,9567,72981,36380
BD4047,2018-2019,3974,224346,269538
BD3048,2018-2019,34193,196690,712400
BD5549,2018-2019,3692,314620,477747
BD4050,2018-2019,79165,241348,147782
BD2051,2018-2019,67283,185273,112820
BD5552,2018-2019,14134,239059,179177
BD3054,2018-2019,1808,43480,145874
BD4055,2018-2019,6296,154063,147455
BD3056,2018-2019,3153,45328,206490
BD6058,2018-2019,153990,301451,167550
BD4057,2018-2019,42168,69537,81545
BD3059,2018-2019,351,20772,83370
BD4561,2018-2019,41708,648376,1018506
BD5064,2018-2019,179648,443820,816283
BD4065,2018-2019,9619,85418,229374
BD3068,2018-2019,1281,101431,191747
BD3067,2018-2019,1707,16118,88328
BD5069,2018-2019,18043,191444,275484
BD4572,2018-2019,1657,293442,722000
BD5573,2018-2019,1116,338997,355759
BD2075,2018-2019,88331,328736,312046
BD5076,2018-2019,33819,193696,205636
BD5577,2018-2019,1049,285975,139838
BD1078,2018-2019,67620,323902,2763
BD1079,2018-2019,39368,110101,95623
BD3082,2018-2019,1633,136599,52318
BD5081,2018-2019,131950,196312,272192
BD2084,2018-2019,9781,25324,29740
BD5585,2018-2019,47115,489855,604948
BD4087,2018-2019,16387,241143,305563
BD3086,2018-2019,14686,22493,108869
BD4589,2018-2019,6831,200707,396798
BD5088,2018-2019,12552,202740,618878
BD6090,2018-2019,34677,192140,772322
BD6091,2018-2019,156469,354070,232389
BD3093,2018-2019,1519,237661,729685
BD5594,2018-2019,44214,385230,229103
